Name,Type,Address,Postal Code,Latitude,Longitude,Washroom,Product,Neighbourhood,neighbourhood_code,neighbourhood_name
CEDAR RIDGE PARK,Park,225 Confederation Dr,M1G 1B2,43.75744,-79.2071,0.0,0,,141,Golfdale-Cedarbrae-Woburn
WHITE HAVEN PARK,Park,63 Invergordon Ave,M1S 2Z1,43.78767,-79.2511,0.0,0,,128,Agincourt South-Malvern West
BOB HUNTER PARK,Park,205 Generation Blvd,M1B 2K5,43.80196,-79.1633,0.0,0,,143,West Rouge
SCARDEN PARK,Park,1649 Warden Ave,M1T 1K7,43.77469,-79.3057,0.0,0,,118,Tam O'Shanter-Sullivan
PRINCESS PARK,Park,214 Doris Ave,M2N 3N7,43.7688,-79.4108,0.0,0,,151,Yonge-Doris
RAVINA GARDENS,Park,290 Clendenan Ave,M6P 2X3,43.65906,-79.4715,0.0,0,,88,High Park North
YORK MILLS GARDENS,Park,2639 Bayview Ave,M2L 1B6,43.75469,-79.3852,0.0,0,,40,St.Andrew-Windfields
MAXOME PARK,Park,67 Maxome Ave,M2M 3K1,43.78762,-79.4002,0.0,0,,50,Newtonbrook East
FANFARE PARK,Park,40 Fanfare Ave,M1C 2N2,43.79106,-79.1388,0.0,0,,143,West Rouge
ROUGE NEIGHBOURHOOD PARK,Park,196 Dean Park Rd,M1B 5Y1,43.80246,-79.179,0.0,0,,143,West Rouge
SENECA HILL PARK,Park,620 Seneca Hill Dr,M2J 2W6,43.79108,-79.3514,0.0,0,,47,Don Valley Village
YORKDALE PARK,Park,256 Ranee Ave,M6A 1N6,43.72361,-79.4483,0.0,0,,31,Yorkdale-Glen Park
LAVERY TRAIL PARK,Park,40 Lavery Trl,M1C 4T3,43.79693,-79.1624,0.0,0,,134,Highland Creek
BEVERLY GLEN PARK,Park,75 Beverly Glen Blvd,M1W 1W4,43.79925,-79.3244,0.0,0,,147,L'Amoreaux West
REID MANOR PARK,Park,65 Reid Manor,M8Y 2H9,43.63829,-79.5059,0.0,0,,16,Stonegate-Queensway
BILL HANCOX PARK,Park,101 Bridgeport Dr,M1C 5E9,43.77779,-79.1401,0.0,0,,133,Centennial Scarborough
LAMBTON WOODS,Park,1193 Royal York Rd,M9A 4B4,43.66482,-79.5146,0.0,0,,9,Edenbridge-Humber Valley
AMES PARK,Park,272 Banbury Rd,M3B 3C8,43.75158,-79.3655,0.0,0,,42,Banbury-Don Mills
BETHUNE PARK,Park,75 Bethune Blvd,M1M 3C2,43.7433,-79.2105,0.0,0,,139,Scarborough Village
