LOCATION_ADDRESS,LOCATION_POSTAL_CODE,AVG_OCCUPANCY_RATE,PRESSURE_STATUS,LATITUDE,LONGITUDE
100 Lippincott St,M5S 2P1,94.31603773584905,High,43.657666013417,-79.40716597224
101 Ontario St,M5A 2V2,97.56075290896646,High,43.654598404493,-79.366710716564
101 Placer Ct,M2H 3H9,98.90525106382978,High,43.802034279239,-79.341409522733
1059 College Street,M6H 1B1,99.74609144542774,High,43.65267681128,-79.430807297784
1076 Pape Ave,M4K 3W5,98.29270989761092,High,43.690928506521,-79.349651867221
111 Spadina Rd,M5R 2T1,75.37757865937073,Medium,43.671188914995,-79.405377525559
1161 Caledonia Rd,M6A 2W9,99.49630390143737,High,43.71563940482,-79.466913686817
12 Holmes Ave,M2N 4N4,88.61542986425339,Medium,43.778293711961,-79.414252787556
126 Pape Ave,M4M 2V8,95.96704996577685,High,43.662827589392,-79.33858859322
129 Peter St,M5V 2H3,89.13538461538461,Medium,43.648747207433,-79.39323801519
136 Spadina Rd,M5R 2T8,84.62392,Medium,43.67311029866,-79.406659621469
179 Gerrard St. East,M5A 2E5,65.77538834951456,Low,43.660765096387,-79.373112898028
191 Spadina Rd,M5R 2T9,96.13531690140844,High,43.673616984707,-79.406284028388
195 Princes' Blvd,M6K 3C3,93.24297345132743,High,43.632091904819,-79.420898295669
1A Strachan Ave,M6K 3C3,97.8264681724846,High,43.635518384928,-79.4086825938
20 Gerrard St E,M5B 1H3,97.75668035592061,High,43.659503494231,-79.381435289691
20 Gerrard St E,M5B 2P3,87.60721468926553,Medium,43.659503494231,-79.381435289691
20 Gerrard St E,M5R 2S5,98.89135254988913,High,43.659503494231,-79.381435289691
20 Gerrard St E,M8V 3H9,97.82815856777493,High,43.659503494231,-79.381435289691
21 Park Rd,M4W 2N1,96.60707487309645,High,43.672114319015,-79.384402399596
21 Walmer Rd,M5R 2W7,95.00019164955509,High,43.667901784027,-79.405622696227
213 Carlton Street,M5A 2K9,88.12199999999999,Medium,43.663762800239,-79.3695401118
22 Metropolitan Rd,M1R 2T5,89.34375384615385,Medium,43.769401686159,-79.300607340085
