Name,Type,Address,lat,lon
CEDAR RIDGE PARK,Park,225 Confederation Dr,43.75744,-79.2071
WHITE HAVEN PARK,Park,63 Invergordon Ave,43.78767,-79.2511
BOB HUNTER PARK,Park,205 Generation Blvd,43.80196,-79.1633
SCARDEN PARK,Park,1649 Warden Ave,43.77469,-79.3057
PRINCESS PARK,Park,214 Doris Ave,43.7688,-79.4108
RAVINA GARDENS,Park,290 Clendenan Ave,43.65906,-79.4715
YORK MILLS GARDENS,Park,2639 Bayview Ave,43.75469,-79.3852
MAXOME PARK,Park,67 Maxome Ave,43.78762,-79.4002
FANFARE PARK,Park,40 Fanfare Ave,43.79106,-79.1388
ROUGE NEIGHBOURHOOD PARK,Park,196 Dean Park Rd,43.80246,-79.179
SENECA HILL PARK,Park,620 Seneca Hill Dr,43.79108,-79.3514
YORKDALE PARK,Park,256 Ranee Ave,43.72361,-79.4483
LAVERY TRAIL PARK,Park,40 Lavery Trl,43.79693,-79.1624
BEVERLY GLEN PARK,Park,75 Beverly Glen Blvd,43.79925,-79.3244
REID MANOR PARK,Park,65 Reid Manor,43.63829,-79.5059
BILL HANCOX PARK,Park,101 Bridgeport Dr,43.77779,-79.1401
LAMBTON WOODS,Park,1193 Royal York Rd,43.66482,-79.5146
AMES PARK,Park,272 Banbury Rd,43.75158,-79.3655
BETHUNE PARK,Park,75 Bethune Blvd,43.7433,-79.2105
IRMA BURMAN GREENBELT PARK,Park,20 Tallpines Crt,43.80311,-79.1579
YORKMINSTER PARK,Park,54 A Yorkminster Rd,43.75521,-79.4022
BURNHAMILL PARK,Park,379 Mill Rd,43.64205,-79.5858
BOBBIE ROSENFELD PARK,Park,294 Bremner Blvd,43.64164,-79.3872
CONFEDERATION PARK,Park,250 Dolly Varden Blvd,43.77444,-79.2347
LINUS PARK,Park,125 Seneca Hill Dr,43.78917,-79.3586
REDBANK GREENBELT,Park,99 Culford Rd,43.70194,-79.4854
HEATHER HEIGHTS WOODS,Park,136 Milford Haven Dr,43.77747,-79.217
MONCUR PLAYGROUND,Park,10 Gainsborough Rd,43.67139,-79.3174
MCNICOLL PARK,Park,215 McNicoll Ave,43.79932,-79.3532
HUMBER BAY PROMENADE PARK,Park,2195 Lake Shore Blvd W,43.62265,-79.4811
SCARBOROUGH VILLAGE PARK,Park,23 Gatesview Ave,43.74735,-79.2131
GATEWAY GREENBELT,Park,20 Gateway Blvd,43.71033,-79.332
MILNER PARKETTE,Park,675 Church St,43.67227,-79.3836
DEAN PARK,Park,80 Dean Park Rd,43.80195,-79.1728
BAYVIEW ARENA PARK,Park,3240 Bayview Ave,43.78839,-79.3932
HTO PARK,Park,339 Queens Quay W,43.63817,-79.3895
ANNIVERSARY PARK,Park,410 Parliament St,43.66214,-79.3674
MERRILL BRIDGE ROAD PARK,Park,1 Lynn Ave,43.68132,-79.315
BURNETT PARK,Park,352 Burnett Ave,43.7602,-79.4314
REDGRAVE PARK,Park,48 Redgrave Dr,43.68271,-79.571
PELHAM AVENUE PLAYGROUND,Park,20 Pelham Ave,43.66848,-79.4553
SILVERVIEW PARK,Park,23 Silverview Dr,43.78577,-79.4115
WILLESDEN PARK,Park,88 Willesden Rd,43.79334,-79.3634
FAIRMEADOW PARKETTE,Park,37 Fairmeadow Ave,43.75584,-79.398
GRACEFIELD PARK,Park,175 Gracefield Ave,43.70945,-79.4907
POINT ROUGE TRAIL PARK,Park,203 Staines Rd,43.82593,-79.2202
NIGHTSTAR PARK,Park,18 Nightstar Rd,43.82411,-79.2294
NEVILLE PARK BLVD RAVINE,Park,45 Bracken Ave,43.67841,-79.2834
SHERWOOD PARK,Park,190 Sherwood Ave,43.71559,-79.39
NORTHERN LINEAR PARK,Park,180 Queens Wharf Rd,43.64027,-79.3991
BALLYCONNOR PARK,Park,21 Ballyconnor Crt,43.79991,-79.3863
MALVERN WOODS,Park,7600 Sheppard Ave E,43.80215,-79.2006
ROYAL ROUGE TOT LOT,Park,65 Royal Rouge Trl,43.80099,-79.1468
ALBERT CAMPBELL SQUARE,Park,150 Borough Dr,43.77281,-79.2572
BONSPIEL PARK,Park,50 Bonspiel Dr,43.79147,-79.1978
EAST DON PARKLAND,Park,1240 Sheppard Ave E,43.77183,-79.3652
RON WATSON PARK,Park,140 Bonis Ave,43.78496,-79.2946
