name,service,address,distance_km,phones,website,record_url
Toronto Shelter and Support Services,Toronto Central Intake Line,"Toronto Toronto, ON",3,Toll Free: 1-877-338-3398; Office: 3-1-1; Crisis: 416-338-4766,https://www.toronto.ca/community-people/housing-shelter/homeless-help/central-intake/,https://211central.ca/record/69800103/?searchLocation=Toronto&topicPath=502&latitude=43.6596&longitude=-79.35657
Toronto Shelter and Support Services,"Toronto Streets to Homes Assessment and Referral Centre (SHARC), Housing Assistance and Emergency Shelter Referral","129 Peter St Toronto, ON, M5V 2H3",3,Toll Free: 1-877-338-3398; Office: 3-1-1; Crisis: 416-863-0511; Crisis: 1-866-863-0511; Crisis: 416-338-4766; Office: 416-392-0090,https://www.toronto.ca/community-people/housing-shelter/homeless-help/streets-to-homes-street-outreach-support-program/,https://211central.ca/record/94638117/?searchLocation=Toronto&topicPath=502&latitude=43.6596&longitude=-79.35657
Good Shepherd Ministries,Overnight shelter,"412 Queen St E Toronto, ON, M5A 1T3",1,Office: 416-869-3619,http://www.goodshepherd.ca,https://211central.ca/record/69795242/?searchLocation=Toronto&topicPath=502&latitude=43.6596&longitude=-79.35657
"Salvation Army, Greater Toronto Housing and Homelessness Supports",Maxwell Meighen Centre,"135 Sherbourne St Toronto, ON, M5A 2R5",1,Office: 416-366-2733; Crisis: 416-338-4766,http://www.torontohhs.org/shelters/maxwell-meighen,https://211central.ca/record/75896469/?searchLocation=Toronto&topicPath=502&latitude=43.6596&longitude=-79.35657
Toronto Shelter and Support Services,Robertson House,"291 Sherbourne St Toronto, ON, M5A 2R9",1,Toll Free: 1-877-338-3398; Office: 416-392-5662; Crisis: 416-338-4766,http://www.toronto.ca/housing,https://211central.ca/record/72506058/?searchLocation=Toronto&topicPath=502&latitude=43.6596&longitude=-79.35657
Street Haven at the Crossroads,Street Haven Shelter and Supportive Housing,"87 Pembroke St Toronto, ON, M5A 2N9",1,Toll Free: 1-844-967-6060; Office: 416-967-6060; Crisis: 416-967-6060 ext 224,http://www.streethaven.com,https://211central.ca/record/75874401/?searchLocation=Toronto&topicPath=502&latitude=43.6596&longitude=-79.35657
Sherbourne Health,,"333 Sherbourne St Toronto, ON, M5A 2S5",1,Office: 416-324-4100; Office: 416-324-4180,https://www.sherbourne.on.ca,https://211central.ca/record/69801064/?searchLocation=Toronto&topicPath=502&latitude=43.6596&longitude=-79.35657
Toronto Shelter and Support Services,Seaton House Programs,"339 George St Toronto, ON, M5A 2N2",1,Office: 416-392-5522; Crisis: 416-392-5547; Fax: 416-392-5549; Fax: 416-392-3597,https://www.toronto.ca/housing,https://211central.ca/record/69800050/?searchLocation=Toronto&topicPath=502&latitude=43.6596&longitude=-79.35657
Dixon Hall,"Overnight Emergency Shelter, The Schoolhouse","349 George St Toronto, ON, M5A 2N2",1,Office: 416-960-9240,https://dixonhall.org,https://211central.ca/record/69795006/?searchLocation=Toronto&topicPath=502&latitude=43.6596&longitude=-79.35657
"Salvation Army, Greater Toronto Housing and Homelessness Supports",Gateway Men's Shelter,"107 Jarvis St Toronto, ON, M5C 2H4",1,Office: 416-368-0324,http://thegateway.ca,https://211central.ca/record/73467913/?searchLocation=Toronto&topicPath=502&latitude=43.6596&longitude=-79.35657
Society of Saint Vincent de Paul,Mary's Home,"70 Gerrard St E Toronto, ON, M5B 1G6",2,Toll Free: 1-877-338-3398; Office: 416-595-1578,https://svdptoronto.org,https://211central.ca/record/69797378/?searchLocation=Toronto&topicPath=502&latitude=43.6596&longitude=-79.35657
