neighbourhood_name,cluster,cluster_label,n_locations,avg_weight,pct_no_washroom,pct_no_product,pct_desert,n_desert,dist_to_product_km,n_transit,pct_within_1500m,lim_at_pct,avg_immigrant_pop,avg_pop_1054,socio_weight,risk_score,centroid_lat,centroid_lon
Westminster-Branson,0,Desert Zone (most at risk),14.0,3.0,0.8571428571428571,1.0,1.0,14.0,4.03838233212873,81,0.0,19.05,25910.0,23357.5,0.690045068065107,0.8450227437800584,43.77744928571428,-79.44967857142856
Bathurst Manor,0,Desert Zone (most at risk),10.0,3.0,0.7,1.0,1.0,10.0,4.593170026618825,101,0.0,14.2,15765.0,14737.5,0.4319788841592731,0.7996601766326156,43.762978000000004,-79.45567999999999
Flemingdon Park,0,Desert Zone (most at risk),9.0,3.0,0.7777777777777778,1.0,1.0,9.0,2.0364922533754117,98,0.1111111111111111,27.3,22225.0,21400.0,0.7695228104238538,0.797503948246969,43.71530888888889,-79.32892222222222
Newtonbrook West,0,Desert Zone (most at risk),9.0,3.0,0.8888888888888888,1.0,1.0,9.0,2.4468474087741168,142,0.0,20.8,23715.0,22987.5,0.6914123813623598,0.7784021106671904,43.78418777777778,-79.42964444444445
Woburn North,0,Desert Zone (most at risk),11.0,3.0,0.9090909090909091,1.0,1.0,11.0,1.9733054243831467,178,0.45454545454545453,21.35,26684.5,17941.5,0.6957810006370427,0.7722986827676427,43.771466363636364,-79.23924545454545
Newtonbrook East,0,Desert Zone (most at risk),20.0,3.0,1.0,1.0,1.0,20.0,2.731167670459658,126,0.1,22.55,15440.0,14615.0,0.5645276892616512,0.7714894624897133,43.7902635,-79.40367
Black Creek,0,Desert Zone (most at risk),9.0,3.0,0.8888888888888888,1.0,1.0,9.0,1.6752922896851254,115,0.4444444444444444,26.2,21355.0,20145.0,0.7322825175393914,0.7711623541077541,43.76605444444445,-79.5206
Yonge-Bay Corridor,0,Desert Zone (most at risk),6.0,3.0,0.6666666666666666,1.0,1.0,6.0,1.6663164842618412,102,0.3333333333333333,31.0,11969.0,10631.5,0.6344592781363084,0.7672491975453524,43.65441833333333,-79.38268333333333
Scarborough Village,0,Desert Zone (most at risk),7.0,3.0,0.7142857142857143,1.0,1.0,7.0,2.032214835312171,85,0.2857142857142857,24.75,16480.0,15682.5,0.6203253989319347,0.7591162903251574,43.739998571428565,-79.21640000000001
Morningside,0,Desert Zone (most at risk),10.0,3.0,0.7,1.0,1.0,10.0,2.9422998473097506,78,0.0,18.1,17403.0,16472.5,0.5274066477494749,0.7588661975248657,43.78365899999999,-79.20628000000002
