SHELTER_ID,LOCATION_ADDRESS,LOCATION_POSTAL_CODE,LATITUDE,LONGITUDE,avg_future_risk,pressure_risk
24,45 The Esplanade,M5E 1W2,43.646654,-79.3741191,0.9954763791670707,High
24,22 Metropolitan Rd,M1R 2T5,43.7695315,-79.3009115,0.9954763791670707,High
40,640 Dixon Rd.,M9W 1J1,43.6921591,-79.5765849,0.9926657667208654,High
25,60 York St,M5J 1S8,43.6462564,-79.3831691,0.9914618950626194,High
83,808 Mt Pleasant Rd,M4P 2L2,43.7088586,-79.3908441,0.9882396279855693,High
36,26 Gerrard St E,M5B 1G3,43.6595672,-79.3810055,0.9855122866548038,High
98,970 Dixon Rd,M9W 1 J,43.6875541,-79.6003729,0.985447441904203,High
98,5515 Eglinton Ave West,M9C5K5,43.6553816,-79.5986072,0.985447441904203,High
20,222 Spadina Ave,M5T 3B3,43.6509911,-79.3979222,0.9718541471152512,Medium
20,92 Peter St,M5V 2G5,43.6469697,-79.3932081,0.9718541471152512,Medium
18,92 Peter St,M5V 2G5,43.6469697,-79.3932081,0.969699995644591,Medium
2,4222 Kingston Rd,M1E 2M6,43.7607355,-79.1966999,0.9650268724734655,Medium
2,4674 Kingston Rd,M1E 2P9,43.7763895,-79.1747134,0.9650268724734655,Medium
2,4540 Kingston Rd,M1E 2N8,43.77225,-79.18589,0.9650268724734655,Medium
99,2387 Dundas Street West,M6P 1X2,43.6576297,-79.4530551,0.9445718734219514,Medium
91,1684 Queen St E,M4L 1G6,43.6671883,-79.3134293,0.8932254104731462,Medium
53,1229 Ellesmere Rd,M1P 4V8,43.7683,-79.26742,0.8772460769268342,Medium
9,65 Dundas St E,M5B 2G8,43.6560073,-79.3784848,0.8630291712745871,Medium
9,60 York St,M5J 1S8,43.6462564,-79.3831691,0.8630291712745871,Medium
9,56 Yonge St,M5E 1G5,43.6481903,-79.3776696,0.8630291712745871,Medium
39,43 Christie St,M6G 3B1,43.6651723,-79.4188638,0.856644306617832,Medium
54,291 Sherbourne St,M5A 2R9,43.6605452,-79.3713799,0.8506190004851033,Medium
7,189B Booth Ave,M4M 2M5,43.66,-79.34324,0.7586377432753578,Medium
5,222 Spadina Ave,M5T 3B3,43.6509911,-79.3979222,0.7294956508715179,Medium
5,92 Peter St,M5V 2G5,43.6469697,-79.3932081,0.7294956508715179,Medium
47,165 Grange Ave,M5T 2V5,43.6508959,-79.4013711,0.7102792531537558,Medium
47,101 Ontario St,M5A 2V2,43.6545261,-79.3668494,0.7102792531537558,Medium
4,77 Ryerson Ave,M5T 2V4,43.6500853,-79.4025175,0.6898924894818871,Low
48,191 Spadina Rd,M5R 2T9,43.6735951,-79.4063176,0.6810199094988308,Low
23,274 Sackville St,M5A 3S7,43.6624027,-79.3639984,0.623797051800777,Low
23,295 Sackville St,M5A 3G1,43.6618538,-79.3632621,0.623797051800777,Low
23,325 Gerrard St E,M5A 2G6,43.6621169,-79.3659397,0.623797051800777,Low
23,355 Gerrard St E,M5A 2G5,43.6624827,-79.3641785,0.623797051800777,Low
78,1684 Queen St E,M4L 1G6,43.6671883,-79.3134293,0.4876981343496461,Low
12,222 Spadina Ave,M5T 3B3,43.6509911,-79.3979222,0.06857163076577423,Low
12,92 Peter St,M5V 2G5,43.6469697,-79.3932081,0.06857163076577423,Low
